subject_num,iteration,c7_disp/cm,sa_disp/cm,time/s,accuracy/cm,parameter,cost
6,52,6.36,3.01,4.59,0.36,1.47,24.74
6,53,1.83,2.42,5.13,0.44,1.47,4.61
6,54,2.25,2.19,3.98,0.27,1.43,4.93
6,55,1.13,2.28,5.17,0.31,1.37,3.24
6,56,0.98,3.32,5.27,0.3,1.32,6.01
6,57,-0.8,3.17,4.54,0.33,1.32,5.34
6,58,4.87,3.83,3.31,0.27,1.37,19.18
6,59,6.82,2.25,4.76,0.38,1.43,25.79
6,60,7.51,2.8,5.11,0.27,1.47,32.14
6,61,4.59,2.74,4.25,0.26,1.47,14.27
6,62,3.23,2.5,4.37,0.36,1.43,8.36
6,63,1.97,2.67,3.81,0.36,1.35,5.51
6,64,5.89,2.61,4.65,0.41,1.3,20.76
6,65,3.89,2.89,4.2,0.29,1.29,11.74
6,66,3.79,2.75,5.27,0.41,1.33,10.98
6,67,1.59,2.95,3.85,0.35,1.39,5.63
6,68,1.74,2.35,3.58,0.26,1.45,4.26
6,69,2.02,1.97,4.87,0.36,1.46,3.97
6,70,2.53,2.72,4.51,0.45,1.44,6.9
6,71,1.08,2.36,4.08,0.31,1.4,3.37
6,72,2.63,2.1,3.87,0.27,1.38,5.64
6,73,1.5,2.64,4.02,0.39,1.4,4.62
6,74,2.67,1.67,4.02,0.36,1.46,4.97
6,75,1.03,2.39,3.63,0.36,1.54,3.4
6,76,0.42,1.77,2.4,0.96,1.59,1.65
6,77,1.97,1.17,4.43,0.36,1.6,2.62
6,78,1.27,1.77,5.02,0.27,1.56,2.36
6,79,0.7,2.42,5.26,0.27,1.51,3.19
6,80,0.05,2.06,4.77,0.35,1.46,2.13
7,1,10.12,2.79,5.5,0.41,1,55.14
7,2,12.12,3.58,4.68,0.34,1.03,79.87
7,3,10.17,3.96,4.56,0.43,1.06,59.54
7,4,10.6,4.03,4.48,0.46,1.08,64.3
7,5,9.6,3.45,5.74,0.31,1.08,52
7,6,10.17,3.13,4.45,0.46,1.04,56.63
